Date,Forecast ($),Optimistic ($),Pessimistic ($)
2025-01-19,1603.11,1843.57,1362.64
2025-01-20,1512.01,1738.82,1285.21
2025-01-21,1711.05,1967.7,1454.39
2025-01-22,1445.23,1662.01,1228.44
2025-01-23,1568.04,1803.24,1332.83
2025-01-24,1671.11,1921.77,1420.44
2025-01-25,1614.71,1856.91,1372.5
2025-01-26,1705.6,1961.45,1449.76
2025-01-27,1738.65,1999.45,1477.85
2025-01-28,1888.71,2172.02,1605.4
2025-01-29,1804.28,2074.92,1533.64
2025-01-30,1778.3,2045.04,1511.55
2025-01-31,1767.3,2032.4,1502.21
2025-02-01,1551.84,1784.61,1319.06
2025-02-02,1443.1,1659.57,1226.64
2025-02-03,1413.1,1625.07,1201.14
2025-02-04,1104.01,1269.61,938.41
2025-02-05,1285.04,1477.8,1092.29
2025-02-06,1118.48,1286.25,950.7
2025-02-07,1072.15,1232.98,911.33
2025-02-08,1278.02,1469.72,1086.32
2025-02-09,1275.98,1467.37,1084.58
2025-02-10,1325.07,1523.83,1126.31
2025-02-11,1390.39,1598.95,1181.83
2025-02-12,1294.87,1489.1,1100.64
2025-02-13,1319.71,1517.67,1121.76
2025-02-14,1283.34,1475.84,1090.84
2025-02-15,1388.2,1596.43,1179.97
2025-02-16,1413.78,1625.85,1201.72
2025-02-17,1422.12,1635.44,1208.8
